,Aturan,Support XuY %,Support X %,Confidence %
234,"('Unicorn',)=>Yogurt",18.0,42.0,44.0
235,"('Yogurt',)=>Unicorn",18.0,39.0,47.0
236,"('Unicorn',)=>chocolate",19.0,42.0,44.0
237,"('chocolate',)=>Unicorn",19.0,39.0,48.0
238,"('Yogurt',)=>chocolate",20.0,42.0,47.0
239,"('chocolate',)=>Yogurt",20.0,42.0,47.0
240,"('Apple', 'Butter')=>Sugar",10.0,41.0,24.0
241,"('Apple', 'Sugar')=>Butter",10.0,42.0,24.0
242,"('Butter', 'Apple')=>Sugar",10.0,41.0,24.0
243,"('Butter', 'Sugar')=>Apple",10.0,38.0,26.0
244,"('Sugar', 'Apple')=>Butter",10.0,42.0,24.0
245,"('Sugar', 'Butter')=>Apple",10.0,38.0,26.0
246,"('Butter', 'chocolate')=>Apple",10.0,38.0,25.0
247,"('chocolate', 'Butter')=>Apple",10.0,38.0,25.0
248,"('Apple', 'Corn')=>Kidney Beans",10.0,41.0,24.0
249,"('Apple', 'Kidney Beans')=>Corn",10.0,41.0,24.0
250,"('Corn', 'Apple')=>Kidney Beans",10.0,41.0,24.0
251,"('Corn', 'Kidney Beans')=>Apple",10.0,38.0,25.0
252,"('Kidney Beans', 'Apple')=>Corn",10.0,41.0,24.0
253,"('Kidney Beans', 'Corn')=>Apple",10.0,38.0,25.0
254,"('Apple', 'Corn')=>Sugar",10.0,41.0,24.0
255,"('Apple', 'Sugar')=>Corn",10.0,41.0,24.0
256,"('Corn', 'Apple')=>Sugar",10.0,41.0,24.0
257,"('Corn', 'Sugar')=>Apple",10.0,38.0,26.0
258,"('Sugar', 'Apple')=>Corn",10.0,41.0,24.0
259,"('Sugar', 'Corn')=>Apple",10.0,38.0,26.0
260,"('Apple', 'chocolate')=>Dill",10.0,40.0,25.0
261,"('Dill', 'chocolate')=>Apple",10.0,38.0,26.0
262,"('chocolate', 'Apple')=>Dill",10.0,40.0,25.0
263,"('chocolate', 'Dill')=>Apple",10.0,38.0,26.0
264,"('Kidney Beans', 'Milk')=>Apple",10.0,38.0,25.0
265,"('Milk', 'Kidney Beans')=>Apple",10.0,38.0,25.0
266,"('Apple', 'Yogurt')=>Milk",10.0,41.0,24.0
267,"('Milk', 'Yogurt')=>Apple",10.0,38.0,25.0
268,"('Yogurt', 'Apple')=>Milk",10.0,41.0,24.0
269,"('Yogurt', 'Milk')=>Apple",10.0,38.0,25.0
270,"('Apple', 'chocolate')=>Milk",10.0,41.0,24.0
271,"('Milk', 'chocolate')=>Apple",10.0,38.0,25.0
272,"('chocolate', 'Apple')=>Milk",10.0,41.0,24.0
273,"('chocolate', 'Milk')=>Apple",10.0,38.0,25.0
274,"('Apple', 'Yogurt')=>Sugar",10.0,41.0,24.0
275,"('Sugar', 'Yogurt')=>Apple",10.0,38.0,26.0
276,"('Yogurt', 'Apple')=>Sugar",10.0,41.0,24.0
277,"('Yogurt', 'Sugar')=>Apple",10.0,38.0,26.0
278,"('Sugar', 'chocolate')=>Apple",10.0,38.0,25.0
279,"('chocolate', 'Sugar')=>Apple",10.0,38.0,25.0
280,"('Yogurt', 'chocolate')=>Apple",10.0,38.0,25.0
281,"('chocolate', 'Yogurt')=>Apple",10.0,38.0,25.0
282,"('Bread', 'Butter')=>Onion",10.0,40.0,24.0
283,"('Butter', 'Bread')=>Onion",10.0,40.0,24.0
284,"('Butter', 'Onion')=>Bread",10.0,38.0,25.0
285,"('Onion', 'Butter')=>Bread",10.0,38.0,25.0
286,"('Bread', 'Yogurt')=>Dill",10.0,40.0,24.0
287,"('Dill', 'Yogurt')=>Bread",10.0,38.0,25.0
288,"('Yogurt', 'Bread')=>Dill",10.0,40.0,24.0
289,"('Yogurt', 'Dill')=>Bread",10.0,38.0,25.0
290,"('Ice cream', 'Sugar')=>Bread",10.0,38.0,25.0
291,"('Sugar', 'Ice cream')=>Bread",10.0,38.0,25.0
292,"('Bread', 'Nutmeg')=>Yogurt",10.0,42.0,24.0
293,"('Bread', 'Yogurt')=>Nutmeg",10.0,40.0,25.0
294,"('Nutmeg', 'Bread')=>Yogurt",10.0,42.0,24.0
295,"('Nutmeg', 'Yogurt')=>Bread",10.0,38.0,26.0
296,"('Yogurt', 'Bread')=>Nutmeg",10.0,40.0,25.0
297,"('Yogurt', 'Nutmeg')=>Bread",10.0,38.0,26.0
298,"('Bread', 'Onion')=>Sugar",10.0,41.0,24.0
299,"('Bread', 'Sugar')=>Onion",10.0,40.0,24.0
300,"('Onion', 'Bread')=>Sugar",10.0,41.0,24.0
301,"('Onion', 'Sugar')=>Bread",10.0,38.0,25.0
302,"('Sugar', 'Bread')=>Onion",10.0,40.0,24.0
303,"('Sugar', 'Onion')=>Bread",10.0,38.0,25.0
304,"('Bread', 'Yogurt')=>Onion",10.0,40.0,24.0
305,"('Onion', 'Yogurt')=>Bread",10.0,38.0,25.0
306,"('Yogurt', 'Bread')=>Onion",10.0,40.0,24.0
307,"('Yogurt', 'Onion')=>Bread",10.0,38.0,25.0
308,"('Bread', 'Sugar')=>Yogurt",10.0,42.0,24.0
309,"('Bread', 'Yogurt')=>Sugar",10.0,41.0,24.0
310,"('Sugar', 'Bread')=>Yogurt",10.0,42.0,24.0
311,"('Sugar', 'Yogurt')=>Bread",10.0,38.0,26.0
312,"('Yogurt', 'Bread')=>Sugar",10.0,41.0,24.0
313,"('Yogurt', 'Sugar')=>Bread",10.0,38.0,26.0
314,"('Bread', 'Yogurt')=>chocolate",10.0,42.0,24.0
315,"('Bread', 'chocolate')=>Yogurt",10.0,42.0,24.0
316,"('Yogurt', 'Bread')=>chocolate",10.0,42.0,24.0
